Date,Region,Channel,SKU,IncomeTier,AgeGroup,Gender,UnitsSold,UnitPrice,Revenue,MarginPct,Profit,YearMonth
2020-07-01,International,Foodservice,CookieDough,Low,35-44,Other/Non-binary,120.0414626140678,5.2,624.2156055931525,0.22,137.32743323049357,2020-07
2023-10-01,South,Foodservice,Mint,Lower-Middle,55-64,Other/Non-binary,106.11323119880008,4.4,466.89821727472037,0.17,79.37269693670247,2023-10
2023-05-01,South,Convenience,CookieDough,Low,18-24,Other/Non-binary,902.8525802062289,7.15,6455.395948474537,0.27,1742.9569060881252,2023-05
2022-06-01,South,Club,Chocolate,Low,18-24,Other/Non-binary,1311.6237928336714,5.4,7082.768481301826,0.28,1983.1751747645114,2022-06
2020-07-01,Midwest,Grocery,CookieDough,Low,25-34,Female,1007.4145981520973,6.5,6548.194887988632,0.32,2095.422364156362,2020-07
2021-02-01,International,Online,Strawberry,Low,25-34,Female,170.85413457279577,5.5,939.6977401503767,0.32999999999999996,310.1002542496243,2021-02
2022-06-01,Northeast,Club,CookieDough,High,65+,Other/Non-binary,1016.5311994523644,5.8500000000000005,5946.707516796332,0.30000000000000004,1784.0122550388999,2022-06
2024-08-01,South,Foodservice,Chocolate,Lower-Middle,25-34,Male,210.3932059663361,4.800000000000001,1009.8873886384134,0.2,201.9774777276827,2024-08
2020-04-01,Northeast,Grocery,Strawberry,Upper-Middle,45-54,Male,1062.3728427694277,5.5,5843.0506352318525,0.27999999999999997,1636.0541778649185,2020-04
2021-10-01,South,Club,LowCal_Protein_Scoop,Lower-Middle,45-54,Other/Non-binary,395.34727212198146,5.8500000000000005,2312.781541913592,0.29000000000000004,670.7066471549417,2021-10
2024-07-01,Northeast,Foodservice,Vanilla,Upper-Middle,35-44,Other/Non-binary,208.75136744690624,4.4,918.5060167663876,0.2,183.70120335327752,2024-07
2024-02-01,Midwest,Online,CookieDough,Low,35-44,Other/Non-binary,410.61286542412574,6.5,2668.9836252568175,0.37,987.5239413450224,2024-02
2024-02-01,West,Online,LowCal_Protein_Scoop,Lower-Middle,25-34,Male,436.3357791900051,6.5,2836.1825647350333,0.36,1021.0257233046119,2024-02
2024-08-01,West,Convenience,NonDairy_Chocolate,Upper-Middle,65+,Other/Non-binary,379.6955669998255,7.700000000000001,2923.6558658986564,0.28,818.6236424516238,2024-08
2024-02-01,International,Convenience,NonDairy_Chocolate,High,35-44,Other/Non-binary,191.8638216124622,7.700000000000001,1477.3514264159592,0.28,413.6583993964686,2024-02
2021-11-01,International,Foodservice,NonDairy_Chocolate,High,35-44,Other/Non-binary,35.794509963317374,5.6000000000000005,200.4492557945773,0.23,46.10332883275279,2021-11
2023-02-01,Northeast,Convenience,Mint,Upper-Middle,55-64,Other/Non-binary,412.8791298539871,6.050000000000001,2497.918735616622,0.22,549.5421218356569,2023-02
2024-12-01,International,Foodservice,NonDairy_Chocolate,Upper-Middle,18-24,Female,46.26516489716503,5.6000000000000005,259.0849234241242,0.23,59.58953238754857,2024-12
2020-09-01,International,Club,NonDairy_Chocolate,Upper-Middle,55-64,Other/Non-binary,154.39491057603902,6.3,972.6879366290458,0.31000000000000005,301.53326035500424,2020-09
2020-01-01,South,Convenience,Mint,Upper-Middle,55-64,Other/Non-binary,401.0556645261945,6.050000000000001,2426.386770383477,0.22,533.805089484365,2020-01
2020-04-01,Northeast,Convenience,LowCal_Protein_Scoop,High,45-54,Other/Non-binary,675.672581677927,7.15,4831.058958997179,0.26,1256.0753293392665,2020-04
2024-02-01,Midwest,Foodservice,Chocolate,Upper-Middle,65+,Other/Non-binary,190.32021833602462,4.800000000000001,913.5370480129184,0.2,182.70740960258368,2024-02
2023-04-01,International,Foodservice,Strawberry,High,45-54,Female,99.48101822433802,4.4,437.7164801870873,0.18000000000000002,78.78896643367572,2023-04
2024-04-01,Northeast,Online,Strawberry,Lower-Middle,55-64,Female,442.08161503879137,5.5,2431.4488827133528,0.32999999999999996,802.3781312954063,2024-04
2020-05-01,West,Convenience,Chocolate,Lower-Middle,18-24,Female,1255.6804155802727,6.6000000000000005,8287.490742829801,0.25,2071.8726857074503,2020-05
2024-01-01,South,Foodservice,Vanilla,High,55-64,Other/Non-binary,205.53015464488797,4.4,904.3326804375072,0.2,180.86653608750146,2024-01
2023-07-01,West,Convenience,CookieDough,Lower-Middle,65+,Other/Non-binary,1039.4680878577938,7.15,7432.196828183226,0.27,2006.6931436094712,2023-07
2023-11-01,South,Grocery,Chocolate,Low,25-34,Male,1084.3430430448168,6.0,6506.0582582689,0.3,1951.81747748067,2023-11
2022-06-01,Midwest,Foodservice,NonDairy_Chocolate,Upper-Middle,18-24,Female,80.959535540178,5.6000000000000005,453.37339902499684,0.23,104.27588177574928,2022-06
2024-06-01,South,Club,Chocolate,Upper-Middle,35-44,Female,1231.4339860335144,5.4,6649.743524580978,0.28,1861.928186882674,2024-06
2021-06-01,Northeast,Club,Strawberry,Low,55-64,Other/Non-binary,805.6530096885922,4.95,3987.9823979585317,0.26,1036.8754234692183,2021-06
2024-05-01,West,Online,CookieDough,Low,45-54,Other/Non-binary,536.2516539605363,6.5,3485.635750743486,0.37,1289.6852277750897,2024-05
2022-12-01,International,Grocery,Vanilla,Upper-Middle,25-34,Female,437.9863515147484,5.5,2408.924933331116,0.3,722.6774799993348,2022-12
2024-03-01,West,Grocery,Mint,Upper-Middle,35-44,Female,701.2089368070051,5.5,3856.6491524385283,0.27,1041.2952711584028,2024-03
2023-02-01,International,Convenience,LowCal_Protein_Scoop,High,45-54,Male,267.5979992852208,7.15,1913.3256948893288,0.26,497.4646806712255,2023-02
2021-06-01,International,Club,NonDairy_Chocolate,Lower-Middle,65+,Other/Non-binary,240.54439625763905,6.3,1515.429696423126,0.31000000000000005,469.78320589116913,2021-06
2022-05-01,South,Foodservice,Strawberry,Low,25-34,Male,225.37397809655172,4.4,991.6455036248277,0.18000000000000002,178.496190652469,2022-05
2022-10-01,Midwest,Grocery,Mint,High,25-34,Male,443.73109895321966,5.5,2440.5210442427083,0.27,658.9406819455313,2022-10
2020-01-01,West,Online,LowCal_Protein_Scoop,High,65+,Other/Non-binary,272.17712064393464,6.5,1769.1512841855752,0.36,636.894462306807,2020-01
2020-08-01,West,Club,LowCal_Protein_Scoop,Low,65+,Male,657.5508606023703,5.8500000000000005,3846.672534523867,0.29000000000000004,1115.5350350119215,2020-08
2020-08-01,South,Online,LowCal_Protein_Scoop,Low,25-34,Other/Non-binary,278.6910108345472,6.5,1811.491570424557,0.36,652.1369653528405,2020-08
2022-03-01,Midwest,Convenience,Vanilla,Low,35-44,Other/Non-binary,842.6915166233014,6.050000000000001,5098.283675570974,0.25,1274.5709188927435,2022-03
2024-06-01,Northeast,Convenience,Vanilla,High,35-44,Other/Non-binary,886.6286065690765,6.050000000000001,5364.103069742913,0.25,1341.0257674357283,2024-06
2023-01-01,International,Online,Vanilla,Upper-Middle,18-24,Other/Non-binary,199.46945168562445,5.5,1097.0819842709345,0.35,383.97869449482704,2023-01
2023-07-01,Northeast,Club,Strawberry,Low,45-54,Other/Non-binary,766.407140423852,4.95,3793.7153450980672,0.26,986.3659897254976,2023-07
2020-04-01,West,Convenience,LowCal_Protein_Scoop,High,25-34,Female,572.9545397441677,7.15,4096.624959170799,0.26,1065.1224893844078,2020-04
2020-05-01,South,Grocery,LowCal_Protein_Scoop,Low,55-64,Male,814.0627594461467,6.5,5291.4079363999535,0.31,1640.3364602839856,2020-05
2021-07-01,South,Convenience,Mint,High,55-64,Male,545.331604264071,6.050000000000001,3299.2562057976297,0.22,725.8363652754786,2021-07
2022-08-01,West,Convenience,LowCal_Protein_Scoop,Lower-Middle,55-64,Male,605.1139447835708,7.15,4326.5647052025315,0.26,1124.9068233526582,2022-08
2024-02-01,South,Online,LowCal_Protein_Scoop,Low,18-24,Other/Non-binary,284.3907627564557,6.5,1848.5399579169618,0.36,665.4743848501063,2024-02
2021-02-01,Midwest,Grocery,LowCal_Protein_Scoop,Lower-Middle,25-34,Male,644.4341738865057,6.5,4188.822130262287,0.31,1298.534860381309,2021-02
2024-04-01,West,Grocery,Mint,Lower-Middle,55-64,Other/Non-binary,719.7369378169918,5.5,3958.553157993455,0.27,1068.809352658233,2024-04
2021-04-01,Midwest,Grocery,LowCal_Protein_Scoop,Lower-Middle,25-34,Female,726.690044112549,6.5,4723.4852867315685,0.31,1464.2804388867862,2021-04
2024-01-01,West,Convenience,Mint,Low,35-44,Male,510.741377777978,6.050000000000001,3089.9853355567675,0.22,679.7967738224888,2024-01
2024-04-01,International,Club,NonDairy_Chocolate,High,35-44,Other/Non-binary,254.95941445697693,6.3,1606.2443110789545,0.31000000000000005,497.935736434476,2024-04
2024-05-01,International,Club,Mint,Upper-Middle,25-34,Other/Non-binary,315.6494549659601,4.95,1562.4648020815025,0.25,390.6162005203756,2024-05
2022-12-01,South,Online,Mint,Upper-Middle,18-24,Female,275.05299841664475,5.5,1512.7914912915462,0.31999999999999995,484.0932772132947,2022-12
2021-06-01,West,Foodservice,NonDairy_Chocolate,Lower-Middle,25-34,Male,114.22733768515037,5.6000000000000005,639.6730910368422,0.23,147.1248109384737,2021-06
2020-11-01,Northeast,Foodservice,Strawberry,High,18-24,Other/Non-binary,132.1115501903717,4.4,581.2908208376356,0.18000000000000002,104.63234775077441,2020-11
2021-12-01,Northeast,Grocery,Mint,Low,65+,Other/Non-binary,433.6651928039962,5.5,2385.158560421979,0.27,643.9928113139343,2021-12
2020-08-01,West,Online,LowCal_Protein_Scoop,Low,35-44,Female,293.6581766270876,6.5,1908.7781480760693,0.36,687.160133307385,2020-08
2023-10-01,South,Foodservice,Mint,Lower-Middle,45-54,Female,87.4975713111374,4.4,384.98931376900464,0.17,65.4481833407308,2023-10
2021-08-01,South,Online,Strawberry,High,25-34,Male,307.878096457983,5.5,1693.3295305189067,0.32999999999999996,558.7987450712392,2021-08
2022-04-01,West,Convenience,Strawberry,Lower-Middle,18-24,Male,804.3740665912967,6.050000000000001,4866.463102877346,0.23,1119.2865136617895,2022-04
2023-02-01,West,Foodservice,Chocolate,Upper-Middle,25-34,Female,355.27599096748696,4.800000000000001,1705.3247566439377,0.2,341.0649513287876,2023-02
2023-04-01,International,Grocery,NonDairy_Chocolate,High,25-34,Male,305.3561984875594,7.0,2137.493389412916,0.32999999999999996,705.3728185062621,2023-04
2020-10-01,Midwest,Convenience,LowCal_Protein_Scoop,Upper-Middle,18-24,Male,372.1574444369193,7.15,2660.925727723973,0.26,691.840689208233,2020-10
2024-05-01,South,Convenience,CookieDough,Lower-Middle,35-44,Male,840.1283350126189,7.15,6006.9175953402255,0.27,1621.867750741861,2024-05
2024-01-01,West,Convenience,Chocolate,Upper-Middle,45-54,Female,1085.977680993086,6.6000000000000005,7167.4526945543685,0.25,1791.8631736385921,2024-01
2021-08-01,West,Foodservice,Chocolate,Upper-Middle,55-64,Male,230.19548971855497,4.800000000000001,1104.938350649064,0.2,220.9876701298128,2021-08
